reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sortOrder,appId
742ba5c8-5b39-4167-9e03-e077430f8705,Nur Aisyah Hadi,https://play-lh.googleusercontent.com/a-/AD_cMMRyBKK8zpQhxHwMX5T-egZNPKWQ_ySf8-UH3nPCWODiCx8,"Banyak oknum merchant/mitra gofood yg hobi mencurangi/dzalim terhadap costumer dengan isi menu makanan yg dipesan, salah satunya dengan memasukan item lain yg harganya tidak seberapa dan mengurangi porsi bahan2 utama hingga 60% . Contoh mengurangi keberadaan daging (baik dalam bentuk olahan apapun) & memperbanyak porsi daun singkong atau sejenisnya yg membuat penampilan makanan itu tetap 'berisi' Dimata awam . Kesulitan top-up gopay ke driver gojek yg gak punya saldo . 🙏🙏 #tolongdievaluasi",3,6,4.61.1,2023-02-14 03:53:12,"Hai Nur, maaf untuk kendalanya, apabila kamu mengalami kendala terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. Kami tunggu detail permasalahannya ya. ^Viska",2023-02-15 10:16:19,4.61.1,most_relevant,com.gojek.app
586aaefe-063d-45ae-84e0-e1d6f6a9461e,tika purnamasari,https://play-lh.googleusercontent.com/a/AAcHTtca9iDtXlKGH7s1dPvfUu0Zy8GOozOGV_21rQCrwYnH=mo,"Aplikasi gojek sàya sering sekali eror, tidak bisa log in . Atau apliakasinya gak merespon sama sekali, Giliran saya logout bisa. Pas mau log in ulang susah sekali. Chat cs berapa hari gak ada solusi",3,8,4.61.1,2023-02-15 14:01:55,"Hai Tika, mohon maaf atas kendalanya. Sebelum login, pastikan kamu menggunakan aplikasi Gojek versi terbaru, dan tidak ada kendala pada akun Gojek kamu. Jika masih mengalami kendala, silakan laporkan melalui email ke customerservice@go-jek.com dan mencantumkan kode psr-23-0047-0303-40148 pada subjek email yang dikirimkan. ^Meta",2023-02-16 10:03:57,4.61.1,most_relevant,com.gojek.app
3fb050a5-e1f6-40fa-bc25-a87a738e1901,Dwi Widyastiti Widya,https://play-lh.googleusercontent.com/a/AAcHTtePXmKHKi1CvnkfHRyR__4vFfy_WB9__5T1IghIFPa-=mo,Saya sudah 4 kali instal ulang apps gojek pdahal belum waktunya update pas saya mau cari alamat tujuan saya kenapa tidak muncul apa ada yang bermasalah ya di bagian maps'nya?? Tiap saya cari yang muncul alamat rumah dan tujuan yang saya cari tidak dtemukan,3,9,4.61.1,2023-02-18 13:35:34,"Hai Dwi Widyastiti Widya, mohon maaf atas kendala yang kamu alami. Mengenai kendala tersebut, silakan laporkan melalui email ke customerservice@go-jek.com dengan melampirkan kode psr-23-0050-0537-12954 pada subject email agar tim kami bisa bantu cek lebih lanjut. ^Meta",2023-02-19 12:37:22,4.61.1,most_relevant,com.gojek.app
bd6b1718-e9c7-4f57-80d5-24ba241ba66a,Wahyu Suparman,https://play-lh.googleusercontent.com/a/AAcHTtfUvsl6R3R73004qwJcvgvhUy87CPOQSBHpGE5cupqc=mo,"Tolong dong bwt gojeg kalau rekrut driver nya yang pinter baca maps,, saya sering dapat driver yang gk bisa baca maps.. habis nunggu lama tiba tiba dibatalin driver nya.. Sampai sering telat karena nunggu driver yang lama karena gak bis baca maps",3,4,4.61.1,2023-02-22 06:36:22,"Hai Wahyu Suparman, mohon maaf untuk kendalanya. Apabila kamu mengalami kendala terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. Kami tunggu detail permasalahannya ya. ^Meta",2023-02-22 10:36:33,4.61.1,most_relevant,com.gojek.app
3ba49b5f-b90e-4aeb-8ad2-a89118217d14,Ridha Fauziah,https://play-lh.googleusercontent.com/a-/AD_cMMQc21bb6gx9QXzdqCdSTizGSaabBlGUFOFQA42Pd3Wm0gM,"Tidak pernah sekecewa ini dengan aplikasi gojek, aplikasi akhir2 ini sering banget lemot, belum diklik promo, tiba2 udh diterima aja pesanan oleh resto dan tdk bs dibatalkan, mana pesanan besar lg, promo br bs diklik ketika harga saldo sebesar harga sebelum promo 😠",3,18,4.61.1,2023-02-22 09:40:00,"Hai Ridha Fauziah, mohon maaf untuk kendalanya. Apabila kamu mengalami kendala terkait layanan Gojek, silakan laporkan melalui menu Bantuan di aplikasi Gojek agar tim kami bisa bantu cek ya. Kami tunggu detail permasalahannya ya. ^Meta",2023-02-23 12:14:17,4.61.1,most_relevant,com.gojek.app
d50a361c-2a57-4e96-a0dd-44a7046cfd58,Maria Rosalina,https://play-lh.googleusercontent.com/a-/AD_cMMQvxAO7zELngJk6yxbewVAdfnXphbjqJgrT9c5ITAezHw,Untuk titik lokasi kadang kurang akurat dan kurang lengkap. Coba kalo app nya bisa terhubung ke Google map. Mungkin akan lbh memudahkan krn google map selalu update trus,3,7,4.62.1,2023-02-25 09:24:45,"Hai Maria, terima kasih atas ulasanmu. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Viska",2023-02-26 14:18:13,4.62.1,most_relevant,com.gojek.app
d7598a5d-9923-46e3-b9ea-0b99555ea0dc,Amirul Anisah,https://play-lh.googleusercontent.com/a/AAcHTtfOha8mAktO-URsUF8AAe_hbtXquvW8eg0l7uWGZnE8=mo,Tolong untuk di perbarui petanya kalo jalannya perbaikan jangan di carikan driver yg jlnnya di buntu .. Lewat mana drivernya tak cancel cari yg dekat biar gk lewat jln yg sama malah akun saya yg mau di blokir... Tolong lah pembaruannya di cek lagii.. Klo gini yg rugi siapa customer juga...,3,5,4.62.1,2023-03-04 07:05:42,"Hai Amirul, maaf atas kendalanya. Sebelum memesan, pastikan kamu sudah memberikan izin akses lokasi aplikasi Gojek dan menggunakan aplikasi Gojek versi terbaru. Jika masih berkendala, laporkan dengan cara klik tautan https://gjk.id/9 dari email id ponsel Android-mu, cantumkan kode psr-23-0064-0553-53541 pada kolom 'Ceritakan lebih lanjut'.-Viska",2023-03-05 12:49:28,4.62.1,most_relevant,com.gojek.app
3d2658ad-5e2f-4ef9-84da-fcb746068e04,Irsyad Ilmani ramadhan,https://play-lh.googleusercontent.com/a-/AD_cMMTS6WMUdk8Iz17y0KGh4PP1aw9dUO9DgMbEZFbQqwY-hA,"Kok saya gk bisa ngehubungin gopay dgn tiktok shop, waktu mau menghubungkan kan masukin no telp, trus buat pin, nah waktu kode otp kok gk muncul muncul di SMS, waktu klik kirim ulang malah ada ""your pin is already set up"" Itu maksudnya apa ya? Dan gimana ngatasinnya? Jadi gk bisa menghubungkan ni",3,10,4.62.2,2023-03-05 18:14:50,"Hai Irsyad, maaf atas kendala yang kamu alami. Mengenai kendala tersebut, silakan laporkan melalui email ke customerservice@go-jek.com dengan melampirkan kode psr-23-0065-0251-01505 pada subject email agar tim kami bisa bantu cek lebih lanjut. ^Viska",2023-03-06 09:46:29,4.62.2,most_relevant,com.gojek.app
f7b05ec0-49e1-4b88-9060-19b17091b720,Diandra,https://play-lh.googleusercontent.com/a/AAcHTtf4RU89gEcYZRkmKNyYEAefVPX7OfOCSrSsksfNe-vl=mo,"Aplikasi ini sudah bagus menurut aku cuma masih kurang, kita tidak bisa komunikasi sama pihak restonya jika ada kendala sama masalah driver yang tidak kunjung tancap gas ke resto, atau masalah antrian panjang untuk driver, jadi jika ada kendala tersebut bisa langsung chat resto biar bisa dibatalin langsung tidak pakai harus nungguin ½jam baru diganti driver buat jemput makanannya.. Makasih🙏",3,22,4.62.2,2023-03-07 13:24:12,"Hai Diandra, terima kasih atas ulasanmu. Kritik dan saran yang kamu berikan akan menjadi masukan bagi kami untuk terus meningkatkan kualitas layanan kami ke depannya. Jika kamu memiliki pertanyaan atau kendala lainnya, silakan kunjungi menu Bantuan di aplikasi Gojek kamu. ^Viska",2023-03-08 10:02:41,4.62.2,most_relevant,com.gojek.app
15183f5b-d700-4d9d-855e-507a8fed5ff2,Aisyah Maharani,https://play-lh.googleusercontent.com/a/AAcHTtdBhF1XPjZlIqaPf40eV3Taefv7i3gt6wHu0QM3JmtU=mo,"Pembayaran top up e-money sangat payah. Sudah 2 kali top up e-money tp tetep ga berhasil. Di notifikasi pembayaran sukses, saldo gopay juga sudah berkurang. Tapi saldo e-money masih belum bertambah.",3,8,4.62.2,2023-03-08 16:06:31,"Hai Aisyah Maharani, mohon maaf atas kendala yang kamu alami. Mengenai kendala tersebut, silakan laporkan melalui email ke customerservice@go-jek.com dengan melampirkan kode psr-23-0068-0706-00518 pada subject email agar tim kami bisa bantu cek lebih lanjut. ^Meta",2023-03-09 14:06:16,4.62.2,most_relevant,com.gojek.app
