waktu,cuaca,kelembaban_min,kelembaban_max,kelembaban_mean,suhu_min,suhu_max,suhu_mean
Siang,Hujan Lokal,70,90,80.0,24,32,28.0
Pagi,Hujan Lokal,70,90,80.0,24,32,28.0
Malam,Hujan Lokal,70,90,80.0,24,32,28.0
Dini Hari,Hujan Ringan,70,90,80.0,24,32,28.0
Siang,Hujan Lokal,70,90,80.0,24,32,28.0
Pagi,Berawan,70,90,80.0,24,32,28.0
Malam,Berawan,70,90,80.0,24,32,28.0
Dini Hari,Hujan Lokal,70,90,80.0,24,32,28.0
Siang,Hujan Lokal,70,90,80.0,24,32,28.0
Pagi,Berawan,70,90,80.0,24,32,28.0
Malam,Berawan,70,90,80.0,24,32,28.0
Dini Hari,Berawan,70,90,80.0,24,32,28.0
Siang,Hujan Lokal,70,90,80.0,24,32,28.0
Pagi,Berawan,70,90,80.0,24,32,28.0
Malam,Berawan,70,90,80.0,24,32,28.0
Dini Hari,Berawan,70,90,80.0,24,32,28.0
Siang,Berawan,70,90,80.0,24,32,28.0
Pagi,Berawan,70,90,80.0,24,32,28.0
Malam,Berawan,70,90,80.0,24,32,28.0
Dini Hari,Berawan,70,90,80.0,24,32,28.0
Siang,Hujan Lokal,70,90,80.0,24,32,28.0
Pagi,Berawan,70,90,80.0,24,32,28.0
Malam,Berawan,70,90,80.0,24,32,28.0
Dini Hari,Hujan Lokal,70,90,80.0,24,32,28.0
Siang,Cerah Berawan,55,90,72.5,24,32,28.0
Pagi,Cerah Berawan,55,90,72.5,24,32,28.0
Malam,Cerah Berawan,55,90,72.5,24,32,28.0
Dini Hari,Cerah Berawan,55,90,72.5,24,32,28.0
Siang,Cerah Berawan,55,90,72.5,24,32,28.0
Pagi,Cerah Berawan,55,90,72.5,24,32,28.0
Malam,Cerah Berawan,55,90,72.5,24,32,28.0
Dini Hari,Cerah Berawan,55,90,72.5,24,32,28.0
Siang,Cerah Berawan,55,90,72.5,24,32,28.0
Pagi,Cerah Berawan,55,90,72.5,24,32,28.0
Malam,Cerah Berawan,55,90,72.5,24,32,28.0
Dini Hari,Cerah Berawan,55,90,72.5,24,32,28.0
Siang,Cerah Berawan,55,90,72.5,24,32,28.0
Pagi,Cerah Berawan,55,90,72.5,24,32,28.0
Malam,Cerah Berawan,55,90,72.5,24,32,28.0
Dini Hari,Cerah Berawan,55,90,72.5,24,32,28.0
Siang,Cerah Berawan,55,90,72.5,24,32,28.0
Pagi,Cerah Berawan,55,90,72.5,24,32,28.0
Malam,Cerah Berawan,55,90,72.5,24,32,28.0
Dini Hari,Cerah Berawan,55,90,72.5,24,32,28.0
Siang,Cerah Berawan,55,90,72.5,24,32,28.0
Pagi,Cerah Berawan,55,90,72.5,24,32,28.0
Malam,Cerah Berawan,55,90,72.5,24,32,28.0
Dini Hari,Cerah Berawan,55,90,72.5,24,32,28.0
Siang,Berawan,60,90,75.0,24,33,28.5
Pagi,Cerah,60,90,75.0,24,33,28.5
Malam,Cerah Berawan,60,90,75.0,24,33,28.5
Dini Hari,Cerah Berawan,60,90,75.0,24,33,28.5
Siang,Cerah Berawan,60,90,75.0,24,33,28.5
Pagi,Cerah Berawan,60,90,75.0,24,33,28.5
Malam,Cerah Berawan,60,90,75.0,24,33,28.5
Dini Hari,Berawan,60,90,75.0,24,33,28.5
Siang,Berawan,60,90,75.0,24,33,28.5
Pagi,Berawan,60,90,75.0,24,33,28.5
Malam,Berawan,60,90,75.0,24,33,28.5
Dini Hari,Berawan,60,90,75.0,24,33,28.5
Siang,Berawan,60,90,75.0,24,33,28.5
Pagi,Berawan,60,90,75.0,24,33,28.5
Malam,Berawan,60,90,75.0,24,33,28.5
Dini Hari,Berawan,60,90,75.0,24,33,28.5
Siang,Cerah Berawan,60,90,75.0,24,33,28.5
Pagi,Berawan,60,90,75.0,24,33,28.5
Malam,Cerah Berawan,60,90,75.0,24,33,28.5
Dini Hari,Cerah Berawan,60,90,75.0,24,33,28.5
Siang,Cerah Berawan,60,90,75.0,24,33,28.5
Pagi,Berawan,60,90,75.0,24,33,28.5
Malam,Cerah Berawan,60,90,75.0,24,33,28.5
Dini Hari,Cerah Berawan,60,90,75.0,24,33,28.5
Siang,Cerah Berawan,60,90,75.0,24,33,28.5
Pagi,Cerah Berawan,60,90,75.0,24,33,28.5
Malam,Cerah Berawan,60,90,75.0,24,33,28.5
Dini Hari,Cerah Berawan,60,90,75.0,24,33,28.5
Siang,Cerah Berawan,60,90,75.0,24,33,28.5
Pagi,Cerah Berawan,60,90,75.0,24,33,28.5
Malam,Cerah Berawan,60,90,75.0,24,33,28.5
Dini Hari,Cerah Berawan,60,90,75.0,24,33,28.5
Siang,Hujan Lokal,60,90,75.0,24,33,28.5
Pagi,Cerah Berawan,60,90,75.0,24,33,28.5
Malam,Berawan,60,90,75.0,24,33,28.5
Dini Hari,Cerah Berawan,60,90,75.0,24,33,28.5
Siang,Hujan Lokal,60,90,75.0,24,33,28.5
Pagi,Cerah Berawan,60,90,75.0,24,33,28.5
Malam,Berawan,60,90,75.0,24,33,28.5
Dini Hari,Cerah Berawan,60,90,75.0,24,33,28.5
Siang,Cerah Berawan,60,90,75.0,24,33,28.5
Pagi,Cerah Berawan,60,90,75.0,24,33,28.5
Malam,Cerah Berawan,60,90,75.0,24,33,28.5
Dini Hari,Cerah Berawan,60,90,75.0,24,33,28.5
Siang,Cerah Berawan,60,90,75.0,24,33,28.5
Pagi,Cerah Berawan,60,90,75.0,24,33,28.5
Malam,Cerah Berawan,60,90,75.0,24,33,28.5
Dini Hari,Cerah Berawan,60,90,75.0,24,33,28.5
Siang,Berawan,60,100,80.0,23,32,27.5
Pagi,Berawan,60,100,80.0,23,32,27.5
Malam,Berawan,60,100,80.0,23,32,27.5
Dini Hari,Berawan,60,100,80.0,23,32,27.5
Siang,Berawan,60,100,80.0,23,32,27.5
Pagi,Berawan,60,100,80.0,23,32,27.5
Malam,Berawan,60,100,80.0,23,32,27.5
Dini Hari,Berawan,60,100,80.0,23,32,27.5
Siang,Hujan Lokal,60,100,80.0,23,32,27.5
Pagi,Berawan,60,100,80.0,23,32,27.5
Malam,Berawan,60,100,80.0,23,32,27.5
Dini Hari,Berawan,60,100,80.0,23,32,27.5
Siang,Hujan Lokal,60,100,80.0,23,32,27.5
Pagi,Berawan,60,100,80.0,23,32,27.5
Malam,Berawan,60,100,80.0,23,32,27.5
Dini Hari,Berawan,60,100,80.0,23,32,27.5
Siang,Hujan Lokal,60,100,80.0,23,32,27.5
Pagi,Berawan,60,100,80.0,23,32,27.5
Malam,Berawan,60,100,80.0,23,32,27.5
Dini Hari,Berawan,60,100,80.0,23,32,27.5
Siang,Hujan Lokal,60,100,80.0,23,32,27.5
Pagi,Berawan,60,100,80.0,23,32,27.5
Malam,Berawan,60,100,80.0,23,32,27.5
Dini Hari,Berawan,60,100,80.0,23,32,27.5
Siang,Berawan Tebal,80,100,90.0,23,31,27.0
Pagi,Hujan Ringan,80,100,90.0,23,31,27.0
Malam,Berawan,80,100,90.0,23,31,27.0
Dini Hari,Berawan,80,100,90.0,23,31,27.0
Siang,Berawan Tebal,80,100,90.0,23,31,27.0
Pagi,Hujan Ringan,80,100,90.0,23,31,27.0
Malam,Berawan,80,100,90.0,23,31,27.0
Dini Hari,Berawan,80,100,90.0,23,31,27.0
Siang,Berawan Tebal,80,100,90.0,23,31,27.0
Pagi,Berawan,80,100,90.0,23,31,27.0
Malam,Berawan,80,100,90.0,23,31,27.0
Dini Hari,Berawan,80,100,90.0,23,31,27.0
Siang,Berawan Tebal,80,100,90.0,23,31,27.0
Pagi,Berawan,80,100,90.0,23,31,27.0
Malam,Berawan,80,100,90.0,23,31,27.0
Dini Hari,Berawan,80,100,90.0,23,31,27.0
Siang,Berawan Tebal,80,100,90.0,23,31,27.0
Pagi,Hujan Ringan,80,100,90.0,23,31,27.0
Malam,Berawan,80,100,90.0,23,31,27.0
Dini Hari,Berawan,80,100,90.0,23,31,27.0
Siang,Berawan Tebal,80,100,90.0,23,31,27.0
Pagi,Berawan,80,100,90.0,23,31,27.0
Malam,Berawan,80,100,90.0,23,31,27.0
Dini Hari,Berawan,80,100,90.0,23,31,27.0
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Hujan Ringan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Berawan,70,95,82.5,24,31,27.5
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Hujan Ringan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Berawan,70,95,82.5,24,31,27.5
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Berawan,70,95,82.5,24,31,27.5
Malam,Hujan Lokal,70,95,82.5,24,31,27.5
Dini Hari,Berawan,70,95,82.5,24,31,27.5
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Berawan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Berawan,70,95,82.5,24,31,27.5
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Hujan Ringan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Berawan,70,95,82.5,24,31,27.5
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Berawan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Berawan,70,95,82.5,24,31,27.5
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Hujan Lokal,70,95,82.5,24,31,27.5
Malam,Hujan Lokal,70,95,82.5,24,31,27.5
Dini Hari,Hujan Lokal,70,95,82.5,24,31,27.5
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Berawan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Berawan,70,95,82.5,24,31,27.5
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Berawan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Berawan,70,95,82.5,24,31,27.5
Siang,Hujan Lokal,70,95,82.5,24,31,27.5
Pagi,Berawan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Hujan Lokal,70,95,82.5,24,31,27.5
Siang,Berawan,70,95,82.5,24,31,27.5
Pagi,Berawan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Berawan,70,95,82.5,24,31,27.5
Siang,Hujan Lokal,70,95,82.5,24,31,27.5
Pagi,Berawan,70,95,82.5,24,31,27.5
Malam,Berawan,70,95,82.5,24,31,27.5
Dini Hari,Hujan Lokal,70,95,82.5,24,31,27.5
Siang,Cerah Berawan,65,95,80.0,23,32,27.5
Pagi,Cerah Berawan,65,95,80.0,23,32,27.5
Malam,Berawan,65,95,80.0,23,32,27.5
Dini Hari,Hujan Lokal,65,95,80.0,23,32,27.5
Siang,Cerah Berawan,65,95,80.0,23,32,27.5
Pagi,Cerah Berawan,65,95,80.0,23,32,27.5
Malam,Berawan,65,95,80.0,23,32,27.5
Dini Hari,Berawan,65,95,80.0,23,32,27.5
Siang,Hujan Lokal,65,95,80.0,23,32,27.5
Pagi,Cerah Berawan,65,95,80.0,23,32,27.5
Malam,Cerah Berawan,65,95,80.0,23,32,27.5
Dini Hari,Berawan,65,95,80.0,23,32,27.5
Siang,Hujan Lokal,65,95,80.0,23,32,27.5
Pagi,Cerah Berawan,65,95,80.0,23,32,27.5
Malam,Cerah Berawan,65,95,80.0,23,32,27.5
Dini Hari,Berawan,65,95,80.0,23,32,27.5
Siang,Cerah Berawan,65,95,80.0,23,32,27.5
Pagi,Cerah Berawan,65,95,80.0,23,32,27.5
Malam,Berawan,65,95,80.0,23,32,27.5
Dini Hari,Berawan,65,95,80.0,23,32,27.5
Siang,Cerah Berawan,65,95,80.0,23,32,27.5
Pagi,Cerah Berawan,65,95,80.0,23,32,27.5
Malam,Berawan,65,95,80.0,23,32,27.5
Dini Hari,Berawan,65,95,80.0,23,32,27.5
Siang,Hujan Ringan,70,95,82.5,23,32,27.5
Pagi,Hujan Lokal,70,95,82.5,23,32,27.5
Malam,Hujan Lokal,70,95,82.5,23,32,27.5
Dini Hari,Hujan Lokal,70,95,82.5,23,32,27.5
Siang,Hujan Sedang,70,95,82.5,23,32,27.5
Pagi,Berawan,70,95,82.5,23,32,27.5
Malam,Hujan Lokal,70,95,82.5,23,32,27.5
Dini Hari,Hujan Lokal,70,95,82.5,23,32,27.5
Siang,Hujan Ringan,70,95,82.5,23,32,27.5
Pagi,Berawan,70,95,82.5,23,32,27.5
Malam,Hujan Lokal,70,95,82.5,23,32,27.5
Dini Hari,Berawan,70,95,82.5,23,32,27.5
Siang,Hujan Ringan,70,95,82.5,23,32,27.5
Pagi,Berawan,70,95,82.5,23,32,27.5
Malam,Berawan,70,95,82.5,23,32,27.5
Dini Hari,Berawan,70,95,82.5,23,32,27.5
Siang,Hujan Ringan,70,95,82.5,23,32,27.5
Pagi,Berawan,70,95,82.5,23,32,27.5
Malam,Hujan Lokal,70,95,82.5,23,32,27.5
Dini Hari,Berawan,70,95,82.5,23,32,27.5
Siang,Hujan Sedang,70,95,82.5,23,32,27.5
Pagi,Berawan,70,95,82.5,23,32,27.5
Malam,Hujan Lokal,70,95,82.5,23,32,27.5
Dini Hari,Berawan,70,95,82.5,23,32,27.5
Siang,Cerah Berawan,65,85,75.0,23,32,27.5
Pagi,Berawan,65,85,75.0,23,32,27.5
Malam,Hujan Lokal,65,85,75.0,23,32,27.5
Dini Hari,Hujan Ringan,65,85,75.0,23,32,27.5
Siang,Berawan,65,85,75.0,23,32,27.5
Pagi,Berawan,65,85,75.0,23,32,27.5
Malam,Berawan,65,85,75.0,23,32,27.5
Dini Hari,Berawan,65,85,75.0,23,32,27.5
Siang,Hujan Lokal,65,85,75.0,23,32,27.5
Pagi,Berawan,65,85,75.0,23,32,27.5
Malam,Berawan,65,85,75.0,23,32,27.5
Dini Hari,Berawan,65,85,75.0,23,32,27.5
Siang,Hujan Lokal,65,85,75.0,23,32,27.5
Pagi,Berawan,65,85,75.0,23,32,27.5
Malam,Berawan,65,85,75.0,23,32,27.5
Dini Hari,Berawan,65,85,75.0,23,32,27.5
Siang,Hujan Lokal,65,85,75.0,23,32,27.5
Pagi,Berawan,65,85,75.0,23,32,27.5
Malam,Berawan,65,85,75.0,23,32,27.5
Dini Hari,Berawan,65,85,75.0,23,32,27.5
Siang,Hujan Lokal,65,85,75.0,23,32,27.5
Pagi,Berawan,65,85,75.0,23,32,27.5
Malam,Berawan,65,85,75.0,23,32,27.5
Dini Hari,Berawan,65,85,75.0,23,32,27.5
Siang,Cerah Berawan,60,90,75.0,23,33,28.0
Pagi,Cerah Berawan,60,90,75.0,23,33,28.0
Malam,Berawan,60,90,75.0,23,33,28.0
Dini Hari,Cerah Berawan,60,90,75.0,23,33,28.0
Siang,Berawan,60,90,75.0,23,33,28.0
Pagi,Cerah Berawan,60,90,75.0,23,33,28.0
Malam,Cerah Berawan,60,90,75.0,23,33,28.0
Dini Hari,Cerah Berawan,60,90,75.0,23,33,28.0
Siang,Hujan Lokal,60,90,75.0,23,33,28.0
Pagi,Cerah Berawan,60,90,75.0,23,33,28.0
Malam,Cerah Berawan,60,90,75.0,23,33,28.0
Dini Hari,Cerah Berawan,60,90,75.0,23,33,28.0
Siang,Hujan Lokal,60,90,75.0,23,33,28.0
Pagi,Cerah Berawan,60,90,75.0,23,33,28.0
Malam,Cerah Berawan,60,90,75.0,23,33,28.0
Dini Hari,Cerah Berawan,60,90,75.0,23,33,28.0
Siang,Berawan,60,90,75.0,23,33,28.0
Pagi,Cerah Berawan,60,90,75.0,23,33,28.0
Malam,Cerah Berawan,60,90,75.0,23,33,28.0
Dini Hari,Cerah Berawan,60,90,75.0,23,33,28.0
Siang,Cerah Berawan,60,90,75.0,23,33,28.0
Pagi,Cerah Berawan,60,90,75.0,23,33,28.0
Malam,Cerah Berawan,60,90,75.0,23,33,28.0
Dini Hari,Cerah Berawan,60,90,75.0,23,33,28.0
Siang,Berawan,65,95,80.0,23,33,28.0
Pagi,Cerah,65,95,80.0,23,33,28.0
Malam,Cerah Berawan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Berawan,65,95,80.0,23,33,28.0
Pagi,Cerah,65,95,80.0,23,33,28.0
Malam,Hujan Ringan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Hujan Sedang,65,95,80.0,23,33,28.0
Pagi,Cerah,65,95,80.0,23,33,28.0
Malam,Hujan Ringan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Hujan Sedang,65,95,80.0,23,33,28.0
Pagi,Cerah,65,95,80.0,23,33,28.0
Malam,Cerah Berawan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Berawan,65,95,80.0,23,33,28.0
Pagi,Cerah,65,95,80.0,23,33,28.0
Malam,Hujan Ringan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Hujan Ringan,65,95,80.0,23,33,28.0
Pagi,Cerah Berawan,65,95,80.0,23,33,28.0
Malam,Cerah Berawan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Hujan Lokal,65,95,80.0,23,33,28.0
Pagi,Cerah Berawan,65,95,80.0,23,33,28.0
Malam,Berawan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Cerah Berawan,65,95,80.0,23,33,28.0
Pagi,Cerah Berawan,65,95,80.0,23,33,28.0
Malam,Cerah Berawan,65,95,80.0,23,33,28.0
Dini Hari,Berawan,65,95,80.0,23,33,28.0
Siang,Berawan,65,95,80.0,23,33,28.0
Pagi,Cerah Berawan,65,95,80.0,23,33,28.0
Malam,Berawan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Berawan,65,95,80.0,23,33,28.0
Pagi,Cerah Berawan,65,95,80.0,23,33,28.0
Malam,Berawan,65,95,80.0,23,33,28.0
Dini Hari,Berawan,65,95,80.0,23,33,28.0
Siang,Hujan Lokal,65,95,80.0,23,33,28.0
Pagi,Cerah Berawan,65,95,80.0,23,33,28.0
Malam,Berawan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Cerah Berawan,65,95,80.0,23,33,28.0
Pagi,Cerah Berawan,65,95,80.0,23,33,28.0
Malam,Berawan,65,95,80.0,23,33,28.0
Dini Hari,Cerah Berawan,65,95,80.0,23,33,28.0
Siang,Cerah Berawan,70,90,80.0,24,33,28.5
Pagi,Berawan,70,90,80.0,24,33,28.5
Malam,Berawan,70,90,80.0,24,33,28.5
Dini Hari,Berawan,70,90,80.0,24,33,28.5
Siang,Cerah Berawan,70,90,80.0,24,33,28.5
Pagi,Berawan,70,90,80.0,24,33,28.5
Malam,Berawan,70,90,80.0,24,33,28.5
Dini Hari,Berawan,70,90,80.0,24,33,28.5
Siang,Hujan Lokal,70,90,80.0,24,33,28.5
Pagi,Berawan,70,90,80.0,24,33,28.5
Malam,Berawan,70,90,80.0,24,33,28.5
Dini Hari,Cerah Berawan,70,90,80.0,24,33,28.5
Siang,Hujan Lokal,70,90,80.0,24,33,28.5
Pagi,Berawan,70,90,80.0,24,33,28.5
Malam,Berawan,70,90,80.0,24,33,28.5
Dini Hari,Cerah Berawan,70,90,80.0,24,33,28.5
Siang,Cerah Berawan,70,90,80.0,24,33,28.5
Pagi,Berawan,70,90,80.0,24,33,28.5
Malam,Berawan,70,90,80.0,24,33,28.5
Dini Hari,Berawan,70,90,80.0,24,33,28.5
Siang,Berawan,70,90,80.0,24,33,28.5
Pagi,Berawan,70,90,80.0,24,33,28.5
Malam,Berawan,70,90,80.0,24,33,28.5
Dini Hari,Cerah Berawan,70,90,80.0,24,33,28.5
Siang,Berawan,55,85,70.0,25,33,29.0
Pagi,Berawan,55,85,70.0,25,33,29.0
Malam,Berawan,55,85,70.0,25,33,29.0
Dini Hari,Cerah Berawan,55,85,70.0,25,33,29.0
Siang,Berawan,55,85,70.0,25,33,29.0
Pagi,Berawan,55,85,70.0,25,33,29.0
Malam,Berawan,55,85,70.0,25,33,29.0
Dini Hari,Cerah Berawan,55,85,70.0,25,33,29.0
Siang,Hujan Lokal,55,85,70.0,25,33,29.0
Pagi,Berawan,55,85,70.0,25,33,29.0
Malam,Berawan,55,85,70.0,25,33,29.0
Dini Hari,Cerah Berawan,55,85,70.0,25,33,29.0
Siang,Hujan Lokal,55,85,70.0,25,33,29.0
Pagi,Berawan,55,85,70.0,25,33,29.0
Malam,Berawan,55,85,70.0,25,33,29.0
Dini Hari,Cerah Berawan,55,85,70.0,25,33,29.0
Siang,Hujan Lokal,55,85,70.0,25,33,29.0
Pagi,Berawan,55,85,70.0,25,33,29.0
Malam,Berawan,55,85,70.0,25,33,29.0
Dini Hari,Cerah Berawan,55,85,70.0,25,33,29.0
Siang,Berawan,55,85,70.0,25,33,29.0
Pagi,Berawan,55,85,70.0,25,33,29.0
Malam,Berawan,55,85,70.0,25,33,29.0
Dini Hari,Cerah Berawan,55,85,70.0,25,33,29.0
Siang,Cerah Berawan,70,90,80.0,25,32,28.5
Pagi,Berawan,70,90,80.0,25,32,28.5
Malam,Berawan,70,90,80.0,25,32,28.5
Dini Hari,Berawan,70,90,80.0,25,32,28.5
Siang,Berawan,70,90,80.0,25,32,28.5
Pagi,Berawan,70,90,80.0,25,32,28.5
Malam,Berawan,70,90,80.0,25,32,28.5
Dini Hari,Berawan,70,90,80.0,25,32,28.5
Siang,Hujan Lokal,70,90,80.0,25,32,28.5
Pagi,Berawan,70,90,80.0,25,32,28.5
Malam,Berawan,70,90,80.0,25,32,28.5
Dini Hari,Berawan,70,90,80.0,25,32,28.5
Siang,Hujan Lokal,70,90,80.0,25,32,28.5
Pagi,Berawan,70,90,80.0,25,32,28.5
Malam,Berawan,70,90,80.0,25,32,28.5
Dini Hari,Berawan,70,90,80.0,25,32,28.5
Siang,Berawan,70,90,80.0,25,32,28.5
Pagi,Berawan,70,90,80.0,25,32,28.5
Malam,Berawan,70,90,80.0,25,32,28.5
Dini Hari,Berawan,70,90,80.0,25,32,28.5
Siang,Hujan Lokal,70,90,80.0,25,32,28.5
Pagi,Berawan,70,90,80.0,25,32,28.5
Malam,Berawan,70,90,80.0,25,32,28.5
Dini Hari,Berawan,70,90,80.0,25,32,28.5
Siang,Cerah Berawan,60,95,77.5,24,34,29.0
Pagi,Cerah Berawan,60,95,77.5,24,34,29.0
Malam,Cerah Berawan,60,95,77.5,24,34,29.0
Dini Hari,Cerah Berawan,60,95,77.5,24,34,29.0
Siang,Cerah Berawan,60,95,77.5,24,34,29.0
Pagi,Cerah Berawan,60,95,77.5,24,34,29.0
Malam,Cerah Berawan,60,95,77.5,24,34,29.0
Dini Hari,Cerah Berawan,60,95,77.5,24,34,29.0
Siang,Hujan Lokal,60,95,77.5,24,34,29.0
Pagi,Cerah Berawan,60,95,77.5,24,34,29.0
Malam,Cerah Berawan,60,95,77.5,24,34,29.0
Dini Hari,Cerah Berawan,60,95,77.5,24,34,29.0
Siang,Berawan,60,95,77.5,24,34,29.0
Pagi,Cerah Berawan,60,95,77.5,24,34,29.0
Malam,Cerah Berawan,60,95,77.5,24,34,29.0
Dini Hari,Cerah Berawan,60,95,77.5,24,34,29.0
Siang,Cerah Berawan,60,95,77.5,24,34,29.0
Pagi,Cerah Berawan,60,95,77.5,24,34,29.0
Malam,Cerah Berawan,60,95,77.5,24,34,29.0
Dini Hari,Cerah Berawan,60,95,77.5,24,34,29.0
Siang,Berawan,60,95,77.5,24,34,29.0
Pagi,Cerah Berawan,60,95,77.5,24,34,29.0
Malam,Cerah Berawan,60,95,77.5,24,34,29.0
Dini Hari,Cerah Berawan,60,95,77.5,24,34,29.0
Siang,Berawan,60,100,80.0,24,33,28.5
Pagi,Cerah Berawan,60,100,80.0,24,33,28.5
Malam,Cerah Berawan,60,100,80.0,24,33,28.5
Dini Hari,Cerah Berawan,60,100,80.0,24,33,28.5
Siang,Berawan,60,100,80.0,24,33,28.5
Pagi,Cerah Berawan,60,100,80.0,24,33,28.5
Malam,Berawan,60,100,80.0,24,33,28.5
Dini Hari,Cerah Berawan,60,100,80.0,24,33,28.5
Siang,Berawan,60,100,80.0,24,33,28.5
Pagi,Cerah Berawan,60,100,80.0,24,33,28.5
Malam,Berawan,60,100,80.0,24,33,28.5
Dini Hari,Cerah Berawan,60,100,80.0,24,33,28.5
Siang,Hujan Lokal,60,100,80.0,24,33,28.5
Pagi,Cerah Berawan,60,100,80.0,24,33,28.5
Malam,Berawan,60,100,80.0,24,33,28.5
Dini Hari,Cerah Berawan,60,100,80.0,24,33,28.5
Siang,Berawan,60,100,80.0,24,33,28.5
Pagi,Cerah Berawan,60,100,80.0,24,33,28.5
Malam,Berawan,60,100,80.0,24,33,28.5
Dini Hari,Cerah Berawan,60,100,80.0,24,33,28.5
Siang,Berawan,60,100,80.0,24,33,28.5
Pagi,Cerah Berawan,60,100,80.0,24,33,28.5
Malam,Berawan,60,100,80.0,24,33,28.5
Dini Hari,Cerah Berawan,60,100,80.0,24,33,28.5
Siang,Berawan,70,100,85.0,24,32,28.0
Pagi,Hujan Lokal,70,100,85.0,24,32,28.0
Malam,Berawan,70,100,85.0,24,32,28.0
Dini Hari,Berawan,70,100,85.0,24,32,28.0
Siang,Berawan,70,100,85.0,24,32,28.0
Pagi,Berawan,70,100,85.0,24,32,28.0
Malam,Berawan,70,100,85.0,24,32,28.0
Dini Hari,Berawan,70,100,85.0,24,32,28.0
Siang,Hujan Sedang,70,100,85.0,24,32,28.0
Pagi,Berawan,70,100,85.0,24,32,28.0
Malam,Hujan Lokal,70,100,85.0,24,32,28.0
Dini Hari,Berawan,70,100,85.0,24,32,28.0
Siang,Hujan Sedang,70,100,85.0,24,32,28.0
Pagi,Berawan,70,100,85.0,24,32,28.0
Malam,Berawan,70,100,85.0,24,32,28.0
Dini Hari,Berawan,70,100,85.0,24,32,28.0
Siang,Hujan Lokal,70,100,85.0,24,32,28.0
Pagi,Berawan,70,100,85.0,24,32,28.0
Malam,Berawan,70,100,85.0,24,32,28.0
Dini Hari,Berawan,70,100,85.0,24,32,28.0
Siang,Hujan Sedang,70,100,85.0,24,32,28.0
Pagi,Berawan,70,100,85.0,24,32,28.0
Malam,Hujan Lokal,70,100,85.0,24,32,28.0
Dini Hari,Berawan,70,100,85.0,24,32,28.0
Siang,Cerah Berawan,55,90,72.5,24,33,28.5
Pagi,Cerah Berawan,55,90,72.5,24,33,28.5
Malam,Cerah Berawan,55,90,72.5,24,33,28.5
Dini Hari,Hujan Petir,55,90,72.5,24,33,28.5
Siang,Hujan Ringan,55,90,72.5,24,33,28.5
Pagi,Cerah Berawan,55,90,72.5,24,33,28.5
Malam,Cerah Berawan,55,90,72.5,24,33,28.5
Dini Hari,Berawan,55,90,72.5,24,33,28.5
Siang,Hujan Ringan,55,90,72.5,24,33,28.5
Pagi,Cerah Berawan,55,90,72.5,24,33,28.5
Malam,Cerah Berawan,55,90,72.5,24,33,28.5
Dini Hari,Berawan,55,90,72.5,24,33,28.5
Siang,Hujan Petir,55,90,72.5,24,33,28.5
Pagi,Cerah Berawan,55,90,72.5,24,33,28.5
Malam,Cerah Berawan,55,90,72.5,24,33,28.5
Dini Hari,Cerah Berawan,55,90,72.5,24,33,28.5
