Date,TransactionID,CustomerID,ProductID,StoreID,Qty,TotalAmount,StoreName,GroupStore,Type,Latitude,Longitude,Age,Gender,Marital Status,Income,Product Name,Price
2022-01-01,TR11369,328,P3,12,4,30000,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,36,False,Married,10.53,Crackers,7500
2022-01-01,TR16356,165,P9,1,7,70000,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,44,True,Married,14.58,Yoghurt,10000
2022-01-01,TR1984,183,P1,4,4,35200,Gita Ginara,Gita,General Trade,-6.966667,110.416664,27,True,Single,0.18,Choco Bar,8800
2022-01-01,TR35256,160,P1,4,7,61600,Gita Ginara,Gita,General Trade,-6.966667,110.416664,48,True,Married,12.57,Choco Bar,8800
2022-01-01,TR41231,386,P9,4,1,10000,Gita Ginara,Gita,General Trade,-6.966667,110.416664,33,False,Married,6.95,Yoghurt,10000
2022-01-01,TR51675,283,P10,5,1,15000,Bonafid,Gita,General Trade,-7.250445,112.768845,19,True,Single,0.0,Cheese Stick,15000
2022-01-01,TR54287,51,P8,2,2,32000,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,36,False,Married,7.95,Oat,16000
2022-01-01,TR67455,49,P5,13,3,12600,Buana,Buana,General Trade,-1.26916,116.825264,44,True,Married,13.48,Thai Tea,4200
2022-01-01,TR73041,222,P9,4,6,60000,Gita Ginara,Gita,General Trade,-6.966667,110.416664,45,False,Married,15.03,Yoghurt,10000
2022-01-01,TR7596,270,P7,14,2,18800,Priangan,Priangan,Modern Trade,-5.45,105.26667,49,True,Married,8.81,Coffee Candy,9400
2022-01-01,TR76340,287,P4,12,4,48000,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,36,False,Single,3.7,Potato Chip,12000
2022-01-01,TR97336,233,P7,12,2,18800,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,43,True,Married,5.69,Coffee Candy,9400
2022-01-01,TR99839,123,P2,1,6,19200,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,34,False,Married,4.36,Ginger Candy ,3200
2022-01-02,TR33585,245,P2,11,5,16000,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,26,True,Married,4.58,Ginger Candy ,3200
2022-01-02,TR39283,293,P2,8,5,16000,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,54,False,Married,10.4,Ginger Candy ,3200
2022-01-02,TR40082,293,P3,7,3,22500,Buana Indah,Buana,General Trade,3.316694,114.590111,54,False,Married,10.4,Crackers,7500
2022-01-02,TR50178,280,P10,5,2,30000,Bonafid,Gita,General Trade,-7.250445,112.768845,60,True,Married,9.57,Cheese Stick,15000
2022-01-02,TR51488,61,P1,10,9,79200,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,40,False,Married,7.0,Choco Bar,8800
2022-01-02,TR51730,3,P5,5,4,16800,Bonafid,Gita,General Trade,-7.250445,112.768845,32,True,Married,9.17,Thai Tea,4200
2022-01-02,TR52040,289,P5,10,4,16800,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,29,False,Married,2.37,Thai Tea,4200
2022-01-02,TR57306,16,P5,13,2,8400,Buana,Buana,General Trade,-1.26916,116.825264,52,False,Married,11.8,Thai Tea,4200
2022-01-02,TR96028,141,P7,13,6,56400,Buana,Buana,General Trade,-1.26916,116.825264,65,True,Married,9.94,Coffee Candy,9400
2022-01-02,TR97521,373,P5,2,4,16800,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,55,True,Married,14.59,Thai Tea,4200
2022-01-02,TR97914,276,P5,6,2,8400,Lingga,Lingga,Modern Trade,-5.135399,119.42379,31,True,Married,8.96,Thai Tea,4200
2022-01-02,TR99181,355,P3,3,4,30000,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,19,True,Single,0.0,Crackers,7500
2022-01-03,TR10183,368,P10,2,1,15000,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,44,False,Married,16.13,Cheese Stick,15000
2022-01-03,TR13110,267,P5,11,2,8400,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,22,False,Single,0.0,Thai Tea,4200
